quarter,average download speed,average upload speed,average latency
2019-01-01,52.51,15.16,23.28
2019-04-01,54.64,16.05,24.23
2019-07-01,61.45,17.14,21.85
2019-10-01,64.94,18.56,20.86
2020-01-01,71.9,19.95,20.0
2020-04-01,77.59,20.89,19.08
2020-07-01,79.19,21.98,18.72
2020-10-01,86.48,23.98,18.52
2021-01-01,91.66,24.74,18.11
2021-04-01,101.4,26.52,17.31
2021-07-01,103.2,27.7,17.72
2021-10-01,108.3,28.76,17.04
2022-01-01,118.66,30.39,16.7
2022-04-01,118.52,31.22,16.51
