quarter,average download speed,average upload speed,average latency
01-01-2019,67.98,45.31,39.3
01-04-2019,68,47.82,40.76
01-07-2019,72.22,53.89,40.08
01-10-2019,85.77,69.58,29.38
01-01-2020,91.3,74.3,27.28
01-04-2020,95.65,77.71,27.33
01-07-2020,109.87,88.2,26.79
01-10-2020,130.37,105.18,22.27
01-01-2021,148.08,116.79,20.67
01-04-2021,162.05,121.34,21.63
01-07-2021,156.03,115.27,24.49
01-10-2021,178.66,131.85,22.15
01-01-2022,191.96,147.43,19.65
01-04-2022,201.49,154.97,19.67
