quarter,average download speed,average upload speed,average latency
2019-01-01,67.14,40.61,18.75
2019-04-01,68.41,41.29,18.55
2019-07-01,76.24,42.7,18.27
2019-10-01,84.89,46.76,13.93
2020-01-01,87.53,43.85,13.88
2020-04-01,85.82,42.76,15.3
2020-07-01,90.16,45.3,16.28
2020-10-01,108.04,53.28,13.54
2021-01-01,118.28,56.01,13.29
2021-04-01,127.01,57.81,12.83
2021-07-01,122.1,54.31,15.73
2021-10-01,142.88,61.5,12.5
2022-01-01,162.21,70.53,10.79
2022-04-01,160.85,69.84,11.83
