quarter,average download speed,average upload speed,average latency
2019-01-01,44.69,16.7,32.86
2019-04-01,46.13,17.85,33.57
2019-07-01,45.91,18.39,31.45
2019-10-01,50.7,20.74,26.09
2020-01-01,49.23,20.39,28.73
2020-04-01,51.75,21.47,27.75
2020-07-01,57.77,24.61,24.63
2020-10-01,64.03,28.08,23.82
2021-01-01,72.04,31.44,23.21
2021-04-01,86.08,35.39,21.27
2021-07-01,86.95,38.07,21.95
2021-10-01,97.81,43.59,20.94
2022-01-01,108.41,51.42,20.3
2022-04-01,112.26,55.82,20.11
